sequenceID	source.name	full_name	Species	Serotype
PA930154	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PA930155	ncbi-nuccore-aav	Adeno-associated virus	-	-
PA930156	ncbi-nuccore-aav	Adeno-associated virus	-	-
PA930188	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
PA930193	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
PA930194	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
PA930195	ncbi-nuccore-aav	Adeno-associated virus - 3	DependoA	AAV3
PA930196	ncbi-nuccore-aav	Adeno-associated virus 3B	DependoA	AAV3
PA930208	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
PA930211	ncbi-nuccore-aav	Adeno-associated virus - 6	DependoA	AAV6
PA930214	ncbi-nuccore-aav	adeno-associated virus 7	DependoA	AAV7
PA930218	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
PA930220	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
PA930221	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
PA930281	ncbi-nuccore-aav	Bovine adeno-associated virus	DependoB	BAAV
PB054568	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV8
PB054574	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054575	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054576	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054579	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054582	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054583	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PB054584	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PB054585	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054586	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054587	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054588	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054591	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054592	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054593	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054596	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054597	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054598	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054599	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054600	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054601	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054602	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054604	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054605	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054606	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054607	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054613	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
PB054614	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054615	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054616	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054618	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054621	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054622	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054623	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PB054624	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PB054663	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054664	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054666	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
PB054668	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
PB054671	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054672	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054684	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054687	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054688	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054689	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054690	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054692	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054694	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054695	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054697	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV11
PB054698	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV11
PB054699	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054700	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB054701	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054702	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB054734	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
PB054739	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
PB054740	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
PB054741	ncbi-nuccore-aav	Adeno-associated virus - 3	DependoA	AAV3
PB054742	ncbi-nuccore-aav	Adeno-associated virus 3B	DependoA	AAV3
PB054754	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
PB054757	ncbi-nuccore-aav	Adeno-associated virus - 6	DependoA	AAV6
PB054760	ncbi-nuccore-aav	adeno-associated virus 7	DependoA	AAV7
PB054764	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
PB054766	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
PB054767	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
PB054827	ncbi-nuccore-aav	Bovine adeno-associated virus	DependoB	BAAV
PB402226	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
PB444365	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV8
PB444371	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444372	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444373	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444376	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444379	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444380	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PB444381	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PB444382	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444383	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444384	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444385	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444388	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444389	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444390	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444393	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444394	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444395	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444396	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444397	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444398	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444399	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444401	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444402	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444403	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444404	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444410	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
PB444411	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444412	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444413	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444415	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444418	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444419	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444420	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PB444421	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PB444460	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444461	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444463	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
PB444465	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
PB444468	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444469	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444481	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444484	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444485	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444486	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444487	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444489	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444491	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444492	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444494	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV11
PB444495	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV11
PB444496	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444497	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB444498	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444499	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB444531	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
PB444536	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
PB444537	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
PB444538	ncbi-nuccore-aav	Adeno-associated virus - 3	DependoA	AAV3
PB444539	ncbi-nuccore-aav	Adeno-associated virus 3B	DependoA	AAV3
PB444551	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
PB444554	ncbi-nuccore-aav	Adeno-associated virus - 6	DependoA	AAV6
PB444557	ncbi-nuccore-aav	adeno-associated virus 7	DependoA	AAV7
PB444561	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
PB444563	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
PB444564	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
PB444624	ncbi-nuccore-aav	Bovine adeno-associated virus	DependoB	BAAV
PB472253	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV8
PB472259	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472260	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472261	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472264	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472267	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472268	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PB472269	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PB472270	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472271	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472272	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472273	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472276	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472277	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472278	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472281	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472282	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472283	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472284	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472285	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472286	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472287	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472289	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472290	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472291	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472292	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472298	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
PB472299	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472300	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472301	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472303	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472306	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472307	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472308	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PB472309	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PB472348	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472349	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472351	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
PB472353	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
PB472356	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472357	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472369	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472372	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472373	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472374	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472375	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472377	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472379	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472380	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472382	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV11
PB472383	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV11
PB472384	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472385	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PB472386	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472387	ncbi-nuccore-aav	Adeno-associated virus	-	-
PB472419	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
PB472424	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
PB472425	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
PB472426	ncbi-nuccore-aav	Adeno-associated virus - 3	DependoA	AAV3
PB472427	ncbi-nuccore-aav	Adeno-associated virus 3B	DependoA	AAV3
PB472439	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
PB472442	ncbi-nuccore-aav	Adeno-associated virus - 6	DependoA	AAV6
PB472445	ncbi-nuccore-aav	adeno-associated virus 7	DependoA	AAV7
PB472449	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
PB472451	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
PB472452	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
PB472512	ncbi-nuccore-aav	Bovine adeno-associated virus	DependoB	BAAV
PB484825	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
PC052749	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
PC052750	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV8
PC052755	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
PC052756	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
PC052762	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052763	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052765	ncbi-nuccore-aav	Adeno-associated virus - 3	DependoA	AAV3
PC052767	ncbi-nuccore-aav	Adeno-associated virus 3B	DependoA	AAV3
PC052779	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
PC052780	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052783	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052784	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PC052785	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PC052786	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052787	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052788	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052789	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052792	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052793	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052797	ncbi-nuccore-aav	Adeno-associated virus - 6	DependoA	AAV6
PC052800	ncbi-nuccore-aav	adeno-associated virus 7	DependoA	AAV7
PC052804	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
PC052808	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
PC052809	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
PC052812	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052813	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052814	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052815	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052816	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052817	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052818	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052819	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052820	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052821	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052824	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052825	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052831	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
PC052832	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052833	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052834	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052836	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052839	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052840	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052841	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PC052842	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PC052881	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052882	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052884	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
PC052886	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
PC052889	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052890	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052930	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052931	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052934	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052935	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052936	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052937	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052939	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052941	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052942	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052944	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV11
PC052945	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV11
PC052946	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052947	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC052948	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052949	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC052985	ncbi-nuccore-aav	Bovine adeno-associated virus	DependoB	BAAV
PC053867	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
PC053868	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV8
PC053873	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
PC053874	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
PC053880	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC053881	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC053883	ncbi-nuccore-aav	Adeno-associated virus - 3	DependoA	AAV3
PC053885	ncbi-nuccore-aav	Adeno-associated virus 3B	DependoA	AAV3
PC053897	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
PC053898	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC053901	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC053902	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PC053903	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PC053904	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC053905	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC053906	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC053907	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC053910	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC053911	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC053915	ncbi-nuccore-aav	Adeno-associated virus - 6	DependoA	AAV6
PC053918	ncbi-nuccore-aav	adeno-associated virus 7	DependoA	AAV7
PC053922	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
PC053926	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
PC053927	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
PC053930	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC053931	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC053932	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC053933	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC053934	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC053935	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC053936	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC053937	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC053938	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC053939	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC053942	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC053943	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC053949	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
PC053950	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC053951	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC053952	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC053954	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC053957	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC053958	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC053959	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PC053960	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PC053999	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC054000	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC054002	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
PC054004	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
PC054007	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC054008	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC054048	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC054049	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC054052	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC054053	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC054054	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC054055	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC054057	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC054059	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC054060	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC054062	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV11
PC054063	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV11
PC054064	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC054065	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC054066	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC054067	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC054103	ncbi-nuccore-aav	Bovine adeno-associated virus	DependoB	BAAV
PC055183	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
PC055184	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV8
PC055189	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
PC055190	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
PC055196	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC055197	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC055199	ncbi-nuccore-aav	Adeno-associated virus - 3	DependoA	AAV3
PC055201	ncbi-nuccore-aav	Adeno-associated virus 3B	DependoA	AAV3
PC055213	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
PC055214	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC055217	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC055218	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PC055219	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
PC055220	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC055221	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC055222	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC055223	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC055226	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC055227	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC055231	ncbi-nuccore-aav	Adeno-associated virus - 6	DependoA	AAV6
PC055234	ncbi-nuccore-aav	adeno-associated virus 7	DependoA	AAV7
PC055238	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
PC055242	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
PC055243	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
PC055246	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC055247	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC055248	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC055249	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC055250	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC055251	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC055252	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC055253	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC055254	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC055255	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC055258	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
PC055259	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC055265	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
PC055266	ncbi-nuccore-aav	Adeno-associated virus	-	-
PC055267	ncbi-nuccore-aav	Adeno-associated virus	-	-
